Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Basic work,Chrome 61.0.3163.100,,2560-10-19 16:12:20,2560-10-19 16:16:18,3m - 58.360s,FAILED
,,,,,,
Test Cases/Basic work/Single Verbatim without login,Chrome 61.0.3163.100,,2560-10-19 16:12:21,2560-10-19 16:12:58,37.764s,PASSED
openBrowser,Chrome 61.0.3163.100,,2560-10-19 16:12:21,2560-10-19 16:12:24,3.055s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2560-10-19 16:12:24,2560-10-19 16:12:25,0.332s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2560-10-19 16:12:25,2560-10-19 16:12:30,4.916s,PASSED
setText,Chrome 61.0.3163.100,,2560-10-19 16:12:30,2560-10-19 16:12:30,0.610s,PASSED
click,Chrome 61.0.3163.100,,2560-10-19 16:12:30,2560-10-19 16:12:30,0.204s,PASSED
click,Chrome 61.0.3163.100,,2560-10-19 16:12:30,2560-10-19 16:12:58,27.611s,PASSED
click,Chrome 61.0.3163.100,,2560-10-19 16:12:58,2560-10-19 16:12:58,0.189s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2560-10-19 16:12:58,2560-10-19 16:12:58,0.002s,NOT_RUN
,,,,,,
Test Cases/Basic work/Login,Chrome 61.0.3163.100,,2560-10-19 16:12:58,2560-10-19 16:13:00,2.000s,PASSED
openBrowser,Chrome 61.0.3163.100,,2560-10-19 16:12:59,2560-10-19 16:12:59,0.002s,NOT_RUN
maximizeWindow,Chrome 61.0.3163.100,,2560-10-19 16:12:59,2560-10-19 16:12:59,0.005s,NOT_RUN
navigateToUrl,Chrome 61.0.3163.100,,2560-10-19 16:12:59,2560-10-19 16:12:59,0.004s,NOT_RUN
click,Chrome 61.0.3163.100,,2560-10-19 16:12:59,2560-10-19 16:12:59,0.299s,PASSED
setText,Chrome 61.0.3163.100,,2560-10-19 16:12:59,2560-10-19 16:12:59,0.306s,PASSED
setText,Chrome 61.0.3163.100,,2560-10-19 16:12:59,2560-10-19 16:13:00,0.258s,PASSED
submit,Chrome 61.0.3163.100,,2560-10-19 16:13:00,2560-10-19 16:13:00,0.142s,PASSED
verifyElementPresent,Chrome 61.0.3163.100,,2560-10-19 16:13:00,2560-10-19 16:13:00,0.588s,PASSED
